5.53, 4.6, 4.75, 5.39, 5.52, 4.04, 4.06, 4.06, 3.7, 3.71, 3.97, 3.65, 3.56
4.6, 6.03, 7.1, 4.94, 5.61, 4.24, 4.26, 4.11, 4.08, 3.93, 4.17, 3.88, 3.79
4.77, 7.1, 6.26, 5.36, 6.26, 4.11, 4.16, 4.33, 4.06, 3.99, 4.23, 3.94, 3.83
5.39, 4.94, 5.34, 6.02, 6.69, 4.29, 4.13, 4.27, 4.01, 3.84, 4.11, 3.81, 3.72
5.52, 5.6, 6.27, 6.7, 8.76, 6.77, 6.17, 5.59, 5.44, 6.66, 6.96, 6.62, 6.5
4.07, 4.25, 4.12, 4.28, 6.75, 6.05, 5.23, 4.91, 5.31, 3.38, 3.62, 3.29, 3.21
4.07, 4.25, 4.16, 4.11, 6.19, 5.22, 6.21, 6.81, 4.25, 3.41, 3.7, 3.39, 3.3
4.09, 4.1, 4.32, 4.27, 5.59, 4.89, 6.8, 5.71, 4.85, 3.99, 3.66, 3.41, 3.31
3.7, 4.07, 4.07, 4.03, 5.44, 5.31, 4.23, 4.84, 5.3, 4.46, 4.05, 3.15, 3.12
3.7, 3.93, 3.97, 3.86, 6.68, 3.36, 3.4, 4.0, 4.43, 4.99, 4.56, 3.64, 2.95
3.95, 4.18, 4.21, 4.13, 6.93, 3.59, 3.7, 3.66, 4.06, 4.58, 5.49, 4.63, 3.9
3.64, 3.86, 3.91, 3.81, 6.63, 3.29, 3.38, 3.4, 3.15, 3.66, 4.61, 4.86, 3.55
3.56, 3.78, 3.85, 3.71, 6.5, 3.21, 3.31, 3.32, 3.12, 2.96, 3.9, 3.56, 4.65
